KẾ HOẠCH ĐĂNG BÀI THEO TỪNG NHÓM ZALO
"Nguồn: 01_TỔNG QUAN GR ZALO + các tab Lich_* | Viết ngày 18/06/2026 | Trạng thái: kế hoạch vận hành, chưa đánh dấu đã đăng"

Nhóm Zalo final,Nhánh vận hành,Đối tượng chính,Mục tiêu,Tần suất đăng,Khung giờ ưu tiên,Pillar xoay vòng,Lịch ngày mẫu,CTA/chuyển đổi,Nguồn nội dung cần chuẩn bị,Tab lịch chi tiết,Ghi chú cá nhân hóa
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - STARLAKE,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu STARLAKE,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm STARLAKE trong tiêu đề và phần giao hàng
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - 6TH ELEMENT,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu 6TH ELEMENT,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm 6TH ELEMENT trong tiêu đề và phần giao hàng
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - ECOLIFE,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu ECOLIFE,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm ECOLIFE trong tiêu đề và phần giao hàng
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - TRÀNG AN,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu TRÀNG AN,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm TRÀNG AN trong tiêu đề và phần giao hàng
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - MHDI,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu MHDI,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm MHDI trong tiêu đề và phần giao hàng
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - NGHĨA ĐÔ,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu NGHĨA ĐÔ,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm NGHĨA ĐÔ trong tiêu đề và phần giao hàng
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - HVQP,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu HVQP,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm HVQP trong tiêu đề và phần giao hàng
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - NAM CƯỜNG,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu NAM CƯỜNG,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm NAM CƯỜNG trong tiêu đề và phần giao hàng
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - LÀNG QUỐC TẾ THĂNG LONG,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu LÀNG QUỐC TẾ THĂNG LONG,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm LÀNG QUỐC TẾ THĂNG LONG trong tiêu đề và phần giao hàng
[N06] - LIÊN MINH TIÊU DÙNG THÔNG MINH - MIPEC XUÂN THỦY,Liên minh tiêu dùng thông minh,Cư dân/văn phòng khu MIPEC XUÂN THỦY,"Tạo thói quen xem deal, gom đơn và upsell membership",5 bài/ngày,"08:00, 11:00, 13:00, 15:00, 19:30",Deal khu vực; mua gom theo nhóm; so sánh tiết kiệm; vote nhu cầu; feedback; membership,Sáng mở deal/menu; gần trưa nhắc gom ăn uống; đầu chiều vote/combo; 15h chốt đồ uống/đồ ăn; tối nhắc deal ngày mai,"ĐẶT, GOM, MENU, MỞ THẺ","Menu ngày, bảng deal/tồn kho, bảng giá thành viên, feedback khách, ảnh giao hàng",Lich_LMTD,Luôn gắn địa điểm MIPEC XUÂN THỦY trong tiêu đề và phần giao hàng
